Fe58(He-3,n)Fe58:HF2002 Calculations, Ed=10.0 MeV.                             
     9.9    61.0    28.0     1.0     1.0    7    1    1    0     1.0 2222
        20        10
      0.97      0.59    0
      1.94      0.39    0
      2.91      0.38    0
      3.88      0.61    0
      4.85      0.57    0
      5.82      0.54    0
      6.79      0.31    0
      7.76      0.88    0
      8.73      0.82    0
      9.70      0.63    0
     10.67      0.47    0
     11.64      0.29    0
     12.61      0.64    0
     13.58      0.55    0
     14.55      0.91    0
     15.52      0.42    0
     16.49      0.80    0
     17.46      0.58    0
     18.43      0.35    0
     19.40      0.72    0
      0.97      0.59    1
      1.94      0.39    1
      2.91      0.38    1
      3.88      0.61    1
      4.85      0.57    1
      5.82      0.54    1
      6.79      0.31    1
      7.76      0.88    1
      8.73      0.82    1
      9.70      0.63    1
     10.67      0.47    1
     11.64      0.29    1
     12.61      0.64    1
     13.58      0.55    1
     14.55      0.91    1
     15.52      0.42    1
     16.49      0.80    1
     17.46      0.58    1
     18.43      0.35    1
     19.40      0.72    1
      0.97      0.59    2
      1.94      0.39    2
      2.91      0.38    2
      3.88      0.61    2
      4.85      0.57    2
      5.82      0.54    2
      6.79      0.31    2
      7.76      0.88    2
      8.73      0.82    2
      9.70      0.63    2
     10.67      0.47    2
     11.64      0.29    2
     12.61      0.64    2
     13.58      0.55    2
     14.55      0.91    2
     15.52      0.42    2
     16.49      0.80    2
     17.46      0.58    2
     18.43      0.35    2
     19.40      0.72    2
      0.97      0.59    3
      1.94      0.39    3
      2.91      0.38    3
      3.88      0.61    3
      4.85      0.57    3
      5.82      0.54    3
      6.79      0.31    3
      7.76      0.88    3
      8.73      0.82    3
      9.70      0.63    3
     10.67      0.47    3
     11.64      0.29    3
     12.61      0.64    3
     13.58      0.55    3
     14.55      0.91    3
     15.52      0.42    3
     16.49      0.80    3
     17.46      0.58    3
     18.43      0.35    3
     19.40      0.72    3
      0.97      0.59    4
      1.94      0.39    4
      2.91      0.38    4
      3.88      0.61    4
      4.85      0.57    4
      5.82      0.54    4
      6.79      0.31    4
      7.76      0.88    4
      8.73      0.82    4
      9.70      0.63    4
     10.67      0.47    4
     11.64      0.29    4
     12.61      0.64    4
     13.58      0.55    4
     14.55      0.91    4
     15.52      0.42    4
     16.49      0.80    4
     17.46      0.58    4
     18.43      0.35    4
     19.40      0.72    4
      0.97      0.59    5
      1.94      0.39    5
      2.91      0.38    5
      3.88      0.61    5
      4.85      0.57    5
      5.82      0.54    5
      6.79      0.31    5
      7.76      0.88    5
      8.73      0.82    5
      9.70      0.63    5
     10.67      0.47    5
     11.64      0.29    5
     12.61      0.64    5
     13.58      0.55    5
     14.55      0.91    5
     15.52      0.42    5
     16.49      0.80    5
     17.46      0.58    5
     18.43      0.35    5
     19.40      0.72    5
      0.97      0.59    6
      1.94      0.39    6
      2.91      0.38    6
      3.88      0.61    6
      4.85      0.57    6
      5.82      0.54    6
      6.79      0.31    6
      7.76      0.88    6
      8.73      0.82    6
      9.70      0.63    6
     10.67      0.47    6
     11.64      0.29    6
     12.61      0.64    6
     13.58      0.55    6
     14.55      0.91    6
     15.52      0.42    6
     16.49      0.80    6
     17.46      0.58    6
     18.43      0.35    6
     19.40      0.72    6
      0.97      0.59    7
      1.94      0.39    7
      2.91      0.38    7
      3.88      0.61    7
      4.85      0.57    7
      5.82      0.54    7
      6.79      0.31    7
      7.76      0.88    7
      8.73      0.82    7
      9.70      0.63    7
     10.67      0.47    7
     11.64      0.29    7
     12.61      0.64    7
     13.58      0.55    7
     14.55      0.91    7
     15.52      0.42    7
     16.49      0.80    7
     17.46      0.58    7
     18.43      0.35    7
     19.40      0.72    7
      0.97      0.59    8
      1.94      0.39    8
      2.91      0.38    8
      3.88      0.61    8
      4.85      0.57    8
      5.82      0.54    8
      6.79      0.31    8
      7.76      0.88    8
      8.73      0.82    8
      9.70      0.63    8
     10.67      0.47    8
     11.64      0.29    8
     12.61      0.64    8
     13.58      0.55    8
     14.55      0.91    8
     15.52      0.42    8
     16.49      0.80    8
     17.46      0.58    8
     18.43      0.35    8
     19.40      0.72    8
      0.97      0.59    9
      1.94      0.39    9
      2.91      0.38    9
      3.88      0.61    9
      4.85      0.57    9
      5.82      0.54    9
      6.79      0.31    9
      7.76      0.88    9
      8.73      0.82    9
      9.70      0.63    9
     10.67      0.47    9
     11.64      0.29    9
     12.61      0.64    9
     13.58      0.55    9
     14.55      0.91    9
     15.52      0.42    9
     16.49      0.80    9
     17.46      0.58    9
     18.43      0.35    9
     19.40      0.72    9
      0.97      0.59   10
      1.94      0.39   10
      2.91      0.38   10
      3.88      0.61   10
      4.85      0.57   10
      5.82      0.54   10
      6.79      0.31   10
      7.76      0.88   10
      8.73      0.82   10
      9.70      0.63   10
     10.67      0.47   10
     11.64      0.29   10
     12.61      0.64   10
     13.58      0.55   10
     14.55      0.91   10
     15.52      0.42   10
     16.49      0.80   10
     17.46      0.58   10
     18.43      0.35   10
     19.40      0.72   10
        20        10
      0.97      0.59    0
      1.94      0.39    0
      2.91      0.38    0
      3.88      0.61    0
      4.85      0.57    0
      5.82      0.54    0
      6.79      0.31    0
      7.76      0.88    0
      8.73      0.82    0
      9.70      0.63    0
     10.67      0.47    0
     11.64      0.29    0
     12.61      0.64    0
     13.58      0.55    0
     14.55      0.91    0
     15.52      0.42    0
     16.49      0.80    0
     17.46      0.58    0
     18.43      0.35    0
     19.40      0.72    0
      0.97      0.59    1
      1.94      0.39    1
      2.91      0.38    1
      3.88      0.61    1
      4.85      0.57    1
      5.82      0.54    1
      6.79      0.31    1
      7.76      0.88    1
      8.73      0.82    1
      9.70      0.63    1
     10.67      0.47    1
     11.64      0.29    1
     12.61      0.64    1
     13.58      0.55    1
     14.55      0.91    1
     15.52      0.42    1
     16.49      0.80    1
     17.46      0.58    1
     18.43      0.35    1
     19.40      0.72    1
      0.97      0.59    2
      1.94      0.39    2
      2.91      0.38    2
      3.88      0.61    2
      4.85      0.57    2
      5.82      0.54    2
      6.79      0.31    2
      7.76      0.88    2
      8.73      0.82    2
      9.70      0.63    2
     10.67      0.47    2
     11.64      0.29    2
     12.61      0.64    2
     13.58      0.55    2
     14.55      0.91    2
     15.52      0.42    2
     16.49      0.80    2
     17.46      0.58    2
     18.43      0.35    2
     19.40      0.72    2
      0.97      0.59    3
      1.94      0.39    3
      2.91      0.38    3
      3.88      0.61    3
      4.85      0.57    3
      5.82      0.54    3
      6.79      0.31    3
      7.76      0.88    3
      8.73      0.82    3
      9.70      0.63    3
     10.67      0.47    3
     11.64      0.29    3
     12.61      0.64    3
     13.58      0.55    3
     14.55      0.91    3
     15.52      0.42    3
     16.49      0.80    3
     17.46      0.58    3
     18.43      0.35    3
     19.40      0.72    3
      0.97      0.59    4
      1.94      0.39    4
      2.91      0.38    4
      3.88      0.61    4
      4.85      0.57    4
      5.82      0.54    4
      6.79      0.31    4
      7.76      0.88    4
      8.73      0.82    4
      9.70      0.63    4
     10.67      0.47    4
     11.64      0.29    4
     12.61      0.64    4
     13.58      0.55    4
     14.55      0.91    4
     15.52      0.42    4
     16.49      0.80    4
     17.46      0.58    4
     18.43      0.35    4
     19.40      0.72    4
      0.97      0.59    5
      1.94      0.39    5
      2.91      0.38    5
      3.88      0.61    5
      4.85      0.57    5
      5.82      0.54    5
      6.79      0.31    5
      7.76      0.88    5
      8.73      0.82    5
      9.70      0.63    5
     10.67      0.47    5
     11.64      0.29    5
     12.61      0.64    5
     13.58      0.55    5
     14.55      0.91    5
     15.52      0.42    5
     16.49      0.80    5
     17.46      0.58    5
     18.43      0.35    5
     19.40      0.72    5
      0.97      0.59    6
      1.94      0.39    6
      2.91      0.38    6
      3.88      0.61    6
      4.85      0.57    6
      5.82      0.54    6
      6.79      0.31    6
      7.76      0.88    6
      8.73      0.82    6
      9.70      0.63    6
     10.67      0.47    6
     11.64      0.29    6
     12.61      0.64    6
     13.58      0.55    6
     14.55      0.91    6
     15.52      0.42    6
     16.49      0.80    6
     17.46      0.58    6
     18.43      0.35    6
     19.40      0.72    6
      0.97      0.59    7
      1.94      0.39    7
      2.91      0.38    7
      3.88      0.61    7
      4.85      0.57    7
      5.82      0.54    7
      6.79      0.31    7
      7.76      0.88    7
      8.73      0.82    7
      9.70      0.63    7
     10.67      0.47    7
     11.64      0.29    7
     12.61      0.64    7
     13.58      0.55    7
     14.55      0.91    7
     15.52      0.42    7
     16.49      0.80    7
     17.46      0.58    7
     18.43      0.35    7
     19.40      0.72    7
      0.97      0.59    8
      1.94      0.39    8
      2.91      0.38    8
      3.88      0.61    8
      4.85      0.57    8
      5.82      0.54    8
      6.79      0.31    8
      7.76      0.88    8
      8.73      0.82    8
      9.70      0.63    8
     10.67      0.47    8
     11.64      0.29    8
     12.61      0.64    8
     13.58      0.55    8
     14.55      0.91    8
     15.52      0.42    8
     16.49      0.80    8
     17.46      0.58    8
     18.43      0.35    8
     19.40      0.72    8
      0.97      0.59    9
      1.94      0.39    9
      2.91      0.38    9
      3.88      0.61    9
      4.85      0.57    9
      5.82      0.54    9
      6.79      0.31    9
      7.76      0.88    9
      8.73      0.82    9
      9.70      0.63    9
     10.67      0.47    9
     11.64      0.29    9
     12.61      0.64    9
     13.58      0.55    9
     14.55      0.91    9
     15.52      0.42    9
     16.49      0.80    9
     17.46      0.58    9
     18.43      0.35    9
     19.40      0.72    9
      0.97      0.59   10
      1.94      0.39   10
      2.91      0.38   10
      3.88      0.61   10
      4.85      0.57   10
      5.82      0.54   10
      6.79      0.31   10
      7.76      0.88   10
      8.73      0.82   10
      9.70      0.63   10
     10.67      0.47   10
     11.64      0.29   10
     12.61      0.64   10
     13.58      0.55   10
     14.55      0.91   10
     15.52      0.42   10
     16.49      0.80   10
     17.46      0.58   10
     18.43      0.35   10
     19.40      0.72   10
         0         0
         0         0
         0         0
        20        10
      0.97      0.59    0
      1.94      0.39    0
      2.91      0.38    0
      3.88      0.61    0
      4.85      0.57    0
      5.82      0.54    0
      6.79      0.31    0
      7.76      0.88    0
      8.73      0.82    0
      9.70      0.63    0
     10.67      0.47    0
     11.64      0.29    0
     12.61      0.64    0
     13.58      0.55    0
     14.55      0.91    0
     15.52      0.42    0
     16.49      0.80    0
     17.46      0.58    0
     18.43      0.35    0
     19.40      0.72    0
      0.97      0.59    1
      1.94      0.39    1
      2.91      0.38    1
      3.88      0.61    1
      4.85      0.57    1
      5.82      0.54    1
      6.79      0.31    1
      7.76      0.88    1
      8.73      0.82    1
      9.70      0.63    1
     10.67      0.47    1
     11.64      0.29    1
     12.61      0.64    1
     13.58      0.55    1
     14.55      0.91    1
     15.52      0.42    1
     16.49      0.80    1
     17.46      0.58    1
     18.43      0.35    1
     19.40      0.72    1
      0.97      0.59    2
      1.94      0.39    2
      2.91      0.38    2
      3.88      0.61    2
      4.85      0.57    2
      5.82      0.54    2
      6.79      0.31    2
      7.76      0.88    2
      8.73      0.82    2
      9.70      0.63    2
     10.67      0.47    2
     11.64      0.29    2
     12.61      0.64    2
     13.58      0.55    2
     14.55      0.91    2
     15.52      0.42    2
     16.49      0.80    2
     17.46      0.58    2
     18.43      0.35    2
     19.40      0.72    2
      0.97      0.59    3
      1.94      0.39    3
      2.91      0.38    3
      3.88      0.61    3
      4.85      0.57    3
      5.82      0.54    3
      6.79      0.31    3
      7.76      0.88    3
      8.73      0.82    3
      9.70      0.63    3
     10.67      0.47    3
     11.64      0.29    3
     12.61      0.64    3
     13.58      0.55    3
     14.55      0.91    3
     15.52      0.42    3
     16.49      0.80    3
     17.46      0.58    3
     18.43      0.35    3
     19.40      0.72    3
      0.97      0.59    4
      1.94      0.39    4
      2.91      0.38    4
      3.88      0.61    4
      4.85      0.57    4
      5.82      0.54    4
      6.79      0.31    4
      7.76      0.88    4
      8.73      0.82    4
      9.70      0.63    4
     10.67      0.47    4
     11.64      0.29    4
     12.61      0.64    4
     13.58      0.55    4
     14.55      0.91    4
     15.52      0.42    4
     16.49      0.80    4
     17.46      0.58    4
     18.43      0.35    4
     19.40      0.72    4
      0.97      0.59    5
      1.94      0.39    5
      2.91      0.38    5
      3.88      0.61    5
      4.85      0.57    5
      5.82      0.54    5
      6.79      0.31    5
      7.76      0.88    5
      8.73      0.82    5
      9.70      0.63    5
     10.67      0.47    5
     11.64      0.29    5
     12.61      0.64    5
     13.58      0.55    5
     14.55      0.91    5
     15.52      0.42    5
     16.49      0.80    5
     17.46      0.58    5
     18.43      0.35    5
     19.40      0.72    5
      0.97      0.59    6
      1.94      0.39    6
      2.91      0.38    6
      3.88      0.61    6
      4.85      0.57    6
      5.82      0.54    6
      6.79      0.31    6
      7.76      0.88    6
      8.73      0.82    6
      9.70      0.63    6
     10.67      0.47    6
     11.64      0.29    6
     12.61      0.64    6
     13.58      0.55    6
     14.55      0.91    6
     15.52      0.42    6
     16.49      0.80    6
     17.46      0.58    6
     18.43      0.35    6
     19.40      0.72    6
      0.97      0.59    7
      1.94      0.39    7
      2.91      0.38    7
      3.88      0.61    7
      4.85      0.57    7
      5.82      0.54    7
      6.79      0.31    7
      7.76      0.88    7
      8.73      0.82    7
      9.70      0.63    7
     10.67      0.47    7
     11.64      0.29    7
     12.61      0.64    7
     13.58      0.55    7
     14.55      0.91    7
     15.52      0.42    7
     16.49      0.80    7
     17.46      0.58    7
     18.43      0.35    7
     19.40      0.72    7
      0.97      0.59    8
      1.94      0.39    8
      2.91      0.38    8
      3.88      0.61    8
      4.85      0.57    8
      5.82      0.54    8
      6.79      0.31    8
      7.76      0.88    8
      8.73      0.82    8
      9.70      0.63    8
     10.67      0.47    8
     11.64      0.29    8
     12.61      0.64    8
     13.58      0.55    8
     14.55      0.91    8
     15.52      0.42    8
     16.49      0.80    8
     17.46      0.58    8
     18.43      0.35    8
     19.40      0.72    8
      0.97      0.59    9
      1.94      0.39    9
      2.91      0.38    9
      3.88      0.61    9
      4.85      0.57    9
      5.82      0.54    9
      6.79      0.31    9
      7.76      0.88    9
      8.73      0.82    9
      9.70      0.63    9
     10.67      0.47    9
     11.64      0.29    9
     12.61      0.64    9
     13.58      0.55    9
     14.55      0.91    9
     15.52      0.42    9
     16.49      0.80    9
     17.46      0.58    9
     18.43      0.35    9
     19.40      0.72    9
      0.97      0.59   10
      1.94      0.39   10
      2.91      0.38   10
      3.88      0.61   10
      4.85      0.57   10
      5.82      0.54   10
      6.79      0.31   10
      7.76      0.88   10
      8.73      0.82   10
      9.70      0.63   10
     10.67      0.47   10
     11.64      0.29   10
     12.61      0.64   10
     13.58      0.55   10
     14.55      0.91   10
     15.52      0.42   10
     16.49      0.80   10
     17.46      0.58   10
     18.43      0.35   10
     19.40      0.72   10
       0.0      10.0      10.0    1    0
 3.00 2.0017.00 0.50 1.00    9
     0.831     0.803     0.742     0.630     0.460     0.290     0.140     0.061     0.022     0.007
