        20        10
      0.97      0.45    0
      1.94      0.76    0
      2.91      0.52    0
      3.88      0.80    0
      4.85      0.47    0
      5.82      0.49    0
      6.79      0.69    0
      7.76      0.44    0
      8.73      0.79    0
      9.70      0.76    0
     10.67      0.50    0
     11.64      0.74    0
     12.61      0.52    0
     13.58      0.55    0
     14.55      0.69    0
     15.52      0.52    0
     16.49      0.61    0
     17.46      1.04    0
     18.43      0.46    0
     19.40      1.03    0
      0.97      0.44    1
      1.94      0.40    1
      2.91      0.79    1
      3.88      0.70    1
      4.85      0.46    1
      5.82      0.51    1
      6.79      0.42    1
      7.76      0.38    1
      8.73      0.53    1
      9.70      0.44    1
     10.67      0.70    1
     11.64      0.30    1
     12.61      0.79    1
     13.58      0.38    1
     14.55      0.61    1
     15.52      0.41    1
     16.49      0.40    1
     17.46      0.63    1
     18.43      0.53    1
     19.40      0.55    1
      0.97      0.39    2
      1.94      0.69    2
      2.91      0.03    2
      3.88      0.83    2
      4.85      0.78    2
      5.82      0.62    2
      6.79      0.69    2
      7.76      0.80    2
      8.73      0.32    2
      9.70      0.89    2
     10.67      0.62    2
     11.64      0.70    2
     12.61      0.94    2
     13.58      0.32    2
     14.55      0.57    2
     15.52      0.73    2
     16.49      0.73    2
     17.46      0.74    2
     18.43      0.48    2
     19.40      0.74    2
      0.97      0.69    3
      1.94      0.51    3
      2.91      0.29    3
      3.88      0.57    3
      4.85      0.40    3
      5.82      0.83    3
      6.79      0.92    3
      7.76      0.62    3
      8.73      0.62    3
      9.70      0.42    3
     10.67      0.48    3
     11.64      0.68    3
     12.61      0.75    3
     13.58      0.14    3
     14.55      0.68    3
     15.52      0.13    3
     16.49      0.68    3
     17.46      0.41    3
     18.43      0.68    3
     19.40      0.92    3
      0.97      0.51    4
      1.94      0.62    4
      2.91      0.33    4
      3.88      0.38    4
      4.85      0.70    4
      5.82      0.81    4
      6.79      0.54    4
      7.76      0.63    4
      8.73      0.82    4
      9.70      0.22    4
     10.67      0.47    4
     11.64      1.01    4
     12.61      0.59    4
     13.58      0.79    4
     14.55      0.51    4
     15.52      0.73    4
     16.49      0.48    4
     17.46      0.44    4
     18.43      0.47    4
     19.40      0.77    4
      0.97      0.42    5
      1.94      0.74    5
      2.91      0.96    5
      3.88      0.46    5
      4.85      0.53    5
      5.82      0.71    5
      6.79      0.35    5
      7.76      0.91    5
      8.73      0.39    5
      9.70      0.86    5
     10.67      0.40    5
     11.64      0.73    5
     12.61      0.42    5
     13.58      0.48    5
     14.55      0.55    5
     15.52      0.48    5
     16.49      0.49    5
     17.46      0.90    5
     18.43      0.71    5
     19.40      0.27    5
      0.97      0.28    6
      1.94      0.96    6
      2.91      0.51    6
      3.88      0.50    6
      4.85      0.49    6
      5.82      0.53    6
      6.79      0.89    6
      7.76      0.35    6
      8.73      0.81    6
      9.70      0.64    6
     10.67      0.34    6
     11.64      0.32    6
     12.61      0.34    6
     13.58      1.01    6
     14.55      0.52    6
     15.52      0.78    6
     16.49      0.60    6
     17.46      0.59    6
     18.43      0.87    6
     19.40      0.69    6
      0.97      0.56    7
      1.94      0.77    7
      2.91      0.99    7
      3.88      0.68    7
      4.85      0.59    7
      5.82      0.16    7
      6.79      0.26    7
      7.76      0.51    7
      8.73      0.39    7
      9.70      0.76    7
     10.67      0.89    7
     11.64      0.58    7
     12.61      0.55    7
     13.58      0.65    7
     14.55      0.66    7
     15.52      0.26    7
     16.49      0.44    7
     17.46      0.53    7
     18.43      0.48    7
     19.40      0.91    7
      0.97      0.90    8
      1.94      0.74    8
      2.91      0.24    8
      3.88      0.59    8
      4.85      0.72    8
      5.82      0.47    8
      6.79      0.37    8
      7.76      0.53    8
      8.73      0.79    8
      9.70      0.82    8
     10.67      0.66    8
     11.64      0.74    8
     12.61      0.81    8
     13.58      0.61    8
     14.55      0.41    8
     15.52      0.99    8
     16.49      0.76    8
     17.46      0.47    8
     18.43      0.21    8
     19.40      0.53    8
      0.97      0.78    9
      1.94      0.69    9
      2.91      0.42    9
      3.88      0.92    9
      4.85      0.53    9
      5.82      0.69    9
      6.79      0.87    9
      7.76      0.46    9
      8.73      0.34    9
      9.70      0.69    9
     10.67      0.80    9
     11.64      0.33    9
     12.61      0.27    9
     13.58      0.67    9
     14.55      0.45    9
     15.52      0.17    9
     16.49      0.44    9
     17.46      1.00    9
     18.43      0.65    9
     19.40      0.37    9
      0.97      0.32   10
      1.94      0.73   10
      2.91      0.67   10
      3.88      0.44   10
      4.85      0.72   10
      5.82      0.53   10
      6.79      0.70   10
      7.76      0.53   10
      8.73      0.51   10
      9.70      0.85   10
     10.67      0.51   10
     11.64      0.63   10
     12.61      0.44   10
     13.58      0.69   10
     14.55      1.05   10
     15.52      0.45   10
     16.49      0.59   10
     17.46      1.07   10
     18.43      0.67   10
     19.40      0.61   10
        20        10
      0.97      0.35    0
      1.94      0.82    0
      2.91      0.37    0
      3.88      0.82    0
      4.85      0.57    0
      5.82      0.60    0
      6.79      0.72    0
      7.76      0.40    0
      8.73      0.86    0
      9.70      0.60    0
     10.67      0.23    0
     11.64      0.85    0
     12.61      0.23    0
     13.58      0.64    0
     14.55      0.46    0
     15.52      0.70    0
     16.49      0.74    0
     17.46      0.45    0
     18.43      0.37    0
     19.40      0.78    0
      0.97      0.43    1
      1.94      0.50    1
      2.91      0.46    1
      3.88      0.85    1
      4.85      0.63    1
      5.82      0.42    1
      6.79      0.96    1
      7.76      0.76    1
      8.73      0.60    1
      9.70      0.50    1
     10.67      0.55    1
     11.64      0.39    1
     12.61      0.72    1
     13.58      0.76    1
     14.55      0.76    1
     15.52      0.61    1
     16.49      0.60    1
     17.46      0.30    1
     18.43      0.57    1
     19.40      0.49    1
      0.97      0.04    2
      1.94      0.43    2
      2.91      0.33    2
      3.88      0.61    2
      4.85      0.24    2
      5.82      0.58    2
      6.79      0.59    2
      7.76      0.97    2
      8.73      0.64    2
      9.70      0.64    2
     10.67      0.68    2
     11.64      0.98    2
     12.61      0.49    2
     13.58      0.70    2
     14.55      0.76    2
     15.52      0.60    2
     16.49      0.31    2
     17.46      0.40    2
     18.43      0.19    2
     19.40      0.51    2
      0.97      0.41    3
      1.94      0.70    3
      2.91      0.39    3
      3.88      0.39    3
      4.85      0.66    3
      5.82      0.23    3
      6.79      0.64    3
      7.76      0.71    3
      8.73      0.32    3
      9.70      0.73    3
     10.67      0.28    3
     11.64      0.72    3
     12.61      0.60    3
     13.58      0.37    3
     14.55      0.82    3
     15.52      0.68    3
     16.49      0.30    3
     17.46      0.60    3
     18.43      0.53    3
     19.40      0.45    3
      0.97      0.44    4
      1.94      0.52    4
      2.91      0.09    4
      3.88      0.29    4
      4.85      0.31    4
      5.82      0.58    4
      6.79      0.72    4
      7.76      0.45    4
      8.73      0.59    4
      9.70      0.96    4
     10.67      1.33    4
     11.64      0.60    4
     12.61      0.73    4
     13.58      0.86    4
     14.55      0.51    4
     15.52      0.36    4
     16.49      0.49    4
     17.46      0.32    4
     18.43      0.86    4
     19.40      0.44    4
      0.97      0.49    5
      1.94      0.89    5
      2.91      0.58    5
      3.88      0.65    5
      4.85      0.35    5
      5.82      0.67    5
      6.79      0.65    5
      7.76      0.42    5
      8.73      0.64    5
      9.70      1.03    5
     10.67      0.53    5
     11.64      0.29    5
     12.61      0.81    5
     13.58      0.59    5
     14.55      0.38    5
     15.52      0.39    5
     16.49      0.51    5
     17.46      0.64    5
     18.43      0.68    5
     19.40      0.46    5
      0.97      0.39    6
      1.94      0.58    6
      2.91      0.98    6
      3.88      0.57    6
      4.85      0.38    6
      5.82      0.36    6
      6.79      0.82    6
      7.76      0.48    6
      8.73      0.70    6
      9.70      0.38    6
     10.67      0.76    6
     11.64      0.85    6
     12.61      0.65    6
     13.58      0.61    6
     14.55      0.94    6
     15.52      0.13    6
     16.49      0.52    6
     17.46      0.36    6
     18.43      0.75    6
     19.40      0.54    6
      0.97      0.53    7
      1.94      0.56    7
      2.91      0.35    7
      3.88      0.67    7
      4.85      0.55    7
      5.82      0.65    7
      6.79      0.58    7
      7.76      0.77    7
      8.73      0.65    7
      9.70      0.89    7
     10.67      0.30    7
     11.64      0.58    7
     12.61      0.09    7
     13.58      0.66    7
     14.55      0.84    7
     15.52      0.45    7
     16.49      0.51    7
     17.46      0.63    7
     18.43      0.53    7
     19.40      0.48    7
      0.97      0.70    8
      1.94      0.69    8
      2.91      0.93    8
      3.88      0.82    8
      4.85      0.53    8
      5.82      0.81    8
      6.79      0.81    8
      7.76      1.06    8
      8.73      0.68    8
      9.70      0.74    8
     10.67      0.73    8
     11.64      0.74    8
     12.61      0.81    8
     13.58      0.61    8
     14.55      0.95    8
     15.52      0.35    8
     16.49      0.10    8
     17.46      0.59    8
     18.43      0.42    8
     19.40      0.82    8
      0.97      0.41    9
      1.94      0.39    9
      2.91      0.83    9
      3.88      0.74    9
      4.85      0.52    9
      5.82      0.39    9
      6.79      0.63    9
      7.76      0.44    9
